,Unnamed: 0,Unnamed: 0.1,country,date,confirmed,deaths,recovered,latitude,longitude,confirmed_log
0,0,0,Afghanistan,2020-03-22 00:00:00+00:00,40,1,1,33.93911,67.709953,3.7135720667043084
1,1,1,Albania,2020-03-22 00:00:00+00:00,89,2,2,41.153332,20.168331,4.499809670330264
2,2,2,Algeria,2020-03-22 00:00:00+00:00,201,17,65,28.033886,1.6596259999999998,5.308267697401205
3,3,3,Andorra,2020-03-22 00:00:00+00:00,113,1,1,42.546245,1.601554,4.736198448394496
4,4,4,Argentina,2020-03-22 00:00:00+00:00,225,4,3,-38.416097,-63.616672,5.420534999272285
5,5,5,Armenia,2020-03-22 00:00:00+00:00,194,0,2,40.069099,45.038189,5.272999558563747
6,6,6,Australia,2020-03-22 00:00:00+00:00,1090,7,80,-25.274398,133.775136,6.9948499858330715
7,7,7,Austria,2020-03-22 00:00:00+00:00,3244,16,9,47.516231,14.550072,8.08487062913819
8,8,8,Azerbaijan,2020-03-22 00:00:00+00:00,65,1,10,40.143105,47.57692700000001,4.189654742026425
9,9,9,Bahrain,2020-03-22 00:00:00+00:00,332,2,149,25.930414000000006,50.637772,5.808142489980444
10,10,10,Bangladesh,2020-03-22 00:00:00+00:00,27,2,3,23.684994,90.356331,3.332204510175204
11,11,11,Barbados,2020-03-22 00:00:00+00:00,14,0,0,13.193887,-59.543198,2.7080502011022096
12,12,12,Belgium,2020-03-22 00:00:00+00:00,3401,75,263,50.503887,4.469936,8.132118772955806
13,13,13,Bolivia,2020-03-22 00:00:00+00:00,24,0,0,-16.290154,-63.588653,3.218875824868201
14,14,14,Bosnia and Herzegovina,2020-03-22 00:00:00+00:00,126,1,2,43.915886,17.679076000000006,4.84418708645859
15,15,15,Brazil,2020-03-22 00:00:00+00:00,1593,25,2,-14.235004,-51.92528,7.3740018593501615
16,16,16,Brunei,2020-03-22 00:00:00+00:00,88,0,2,4.535277,114.727669,4.48863636973214
17,17,17,Bulgaria,2020-03-22 00:00:00+00:00,187,3,3,42.733883,25.48583,5.236441962829949
18,18,18,Burkina Faso,2020-03-22 00:00:00+00:00,75,4,5,12.238333,-1.561593,4.330733340286331
19,19,19,Cambodia,2020-03-22 00:00:00+00:00,84,0,1,12.565679,104.990963,4.442651256490317
20,20,20,Cameroon,2020-03-22 00:00:00+00:00,40,0,0,7.369722,12.354722,3.7135720667043084
21,21,21,Canada,2020-03-22 00:00:00+00:00,1015,11,6,56.130366,-106.346771,6.923628628138427
22,22,22,Cape Verde,2020-03-22 00:00:00+00:00,0,0,0,16.002082,-24.013197,0.0
